Time	V1	V2	V3	Pressure1	Pressure2	OGTime	Constant
9.052	0	0	0	62.27	0.17	9052	
9.078	0	0	0	62.15	0.17	9078	
9.102	0	0	0	62.1	0.05	9102	
9.128	0	0	0	61.74	0.17	9128	
9.152	0	0	0	61.91	-0.19	9152	
9.178	0	1	0	62.22	0.05	9178	
9.202	0	1	0	63.53	17.55	9202	
9.227	0	1	0	20.48	6.32	9227	
9.252	0	1	0	5.48	2.07	9252	
9.277	0	1	0	1.36	1.55	9277	
9.302	0	1	0	1.79	2.03	9302	
9.327	0	1	0	2.15	2.5	9327	
9.352	0	1	0	2.26	2.67	9352	
9.377	0	1	0	2.03	2.19	9377	
9.402	0	1	0	2.19	2.5	9402	
9.427	0	1	0	2.19	2.31	9427	
9.452	0	1	0	2.19	2.19	9452	
9.477	0	1	0	2.03	2.26	9477	
9.502	0	1	0	2.19	2.03	9502	
9.527	0	1	0	2.38	2.26	9527	
9.552	0	1	0	2.19	2.07	9552	
9.577	0	1	0	2.15	2.15	9577	
9.602	0	1	0	1.95	2.03	9602	
9.627	0	1	0	1.95	2.15	9627	
9.652	0	1	0	2.31	2.19	9652	
9.677	0	1	0	2.03	2.43	9677	
9.702	0	1	0	2.26	2.43	9702	
9.727	0	1	0	2.43	2.26	9727	
9.752	0	1	0	2.19	2.15	9752	
9.777	0	1	0	2.38	2.26	9777	
9.802	0	1	0	2.03	2.38	9802	
9.827	0	1	0	2.43	2.19	9827	
9.852	0	1	0	2.03	2.26	9852	
9.877	0	1	0	2.19	2.26	9877	
9.935	0	1	0	2.43	2.26	9935	
9.943	0	1	0	1.91	2.55	9943	
9.952	0	1	0	1.91	2.31	9952	
9.977	0	1	0	2.15	2.31	9977	
10.002	0	1	0	1.79	2.62	10002	
10.027	0	1	0	2.55	2.31	10027	
10.052	0	1	0	1.84	2.19	10052	
10.077	0	1	0	2.31	1.91	10077	
10.102	0	1	0	2.03	1.95	10102	
10.127	0	1	0	2.5	2.5	10127	
10.152	0	1	0	2.19	2.26	10152	
10.177	0	1	0	1.84	2.26	10177	
10.202	0	1	0	1.91	2.5	10202	
10.227	0	1	0	2.03	2.26	10227	
10.252	0	1	0	2.07	2.43	10252	
10.277	0	1	0	2.43	2.5	10277	
10.302	0	1	0	2.15	2.26	10302	
10.327	0	1	0	1.95	1.95	10327	
10.352	0	1	0	2.03	2.43	10352	
10.377	0	1	0	2.07	2.15	10377	
10.402	0	1	0	2.15	2.67	10402	
10.427	0	1	0	2.55	2.31	10427	
10.452	0	1	0	2.38	2.5	10452	
10.477	0	1	0	2.19	2.74	10477	
10.502	0	1	0	2.15	2.43	10502	
10.527	0	1	0	2.31	2.31	10527	
10.552	0	1	0	2.43	2.15	10552	
10.577	0	1	0	2.03	1.84	10577	
10.602	0	1	0	2.43	2.43	10602	
10.628	0	1	0	1.91	2.07	10628	
10.652	0	1	0	2.07	2.19	10652	
10.677	0	1	0	2.26	2.26	10677	
10.702	0	1	0	2.15	1.95	10702	
10.727	0	1	0	2.07	2.38	10727	
10.752	0	1	0	2.5	2.15	10752	
10.777	0	1	0	2.26	2.67	10777	
10.802	0	1	0	2.15	2.15	10802	
10.827	0	1	0	2.55	1.79	10827	
10.852	0	0	0	2.38	2.5	10852	
10.877	0	0	0	1.84	1.84	10877	
10.902	0	0	0	5.84	0.95	10902	
10.927	0	0	0	3.34	2.26	10927	
10.952	0	0	0	3.03	2.74	10952	
10.978	0	0	0	2.74	2.5	10978	
11.002	0	0	0	2.43	2.07	11002	
11.027	0	0	0	2.86	2.5	11027	
11.052	0	0	0	2.07	2.43	11052	
11.078	0	0	0	2.38	2.5	11078	
11.102	0	0	0	2.55	2.38	11102	
11.128	0	0	0	2.67	2.19	11128	
11.152	1	0	1	2.91	2.15	11152	
11.177	1	0	1	2.79	2.31	11177	
11.203	1	0	1	3.74	2.62	11203	
11.227	0	0	0	27.53	2.43	11227	
11.252	0	0	0	62.82	2.43	11252	
11.277	0	0	0	64.06	2.26	11277	
11.302	0	0	0	65.01	2.26	11302	
11.327	0	0	0	65.84	2.43	11327	
11.352	0	0	0	66.75	2.19	11352	
11.379	0	0	0	66.39	2.19	11379	
11.402	0	0	0	66.39	2.43	11402	
11.427	0	0	0	66.44	2.19	11427	
11.452	0	0	0	66.32	2.07	11452	
11.477	0	0	0	65.68	2.03	11477	
11.502	0	0	0	65.92	1.84	11502	
11.528	0	0	0	65.56	1.79	11528	
11.552	0	0	0	65.08	1.95	11552	
11.577	0	0	0	65.61	2.07	11577	
11.602	0	0	0	65.13	2.15	11602	
11.656	0	0	0	65.13	2.55	11656	
11.667	0	0	0	64.89	2.15	11667	
11.679	0	0	0	64.6	2.07	11679	
11.702	0	0	0	64.49	2.15	11702	
11.727	0	0	0	64.37	2.31	11727	
11.752	0	0	0	64.53	1.84	11752	
11.777	0	0	0	64.53	2.43	11777	
11.802	0	0	0	63.94	2.15	11802	
11.828	0	0	0	64.29	1.48	11828	
11.852	0	0	0	63.77	2.19	11852	
11.877	0	0	0	63.77	1.95	11877	
11.902	0	0	0	63.46	2.38	11902	
11.927	0	0	0	64.01	2.38	11927	
11.952	0	0	0	63.41	1.79	11952	
11.977	0	0	0	63.82	2.26	11977	
12.002	0	0	0	63.53	2.15	12002	
12.027	0	0	0	62.82	1.91	12027	
12.052	0	0	0	63.34	2.15	12052	
12.077	0	0	0	63.29	2.62	12077	
12.102	0	0	0	63.46	2.79	12102	
12.127	0	0	0	62.39	2.26	12127	
12.152	0	0	0	63.34	2.07	12152	
12.177	0	0	0	62.7	2.15	12177	
12.202	0	0	0	62.98	2.03	12202	
12.227	0	0	0	62.58	2.62	12227	
12.252	0	0	0	62.75	2.55	12252	
12.277	0	0	0	63.22	1.55	12277	
12.302	0	0	0	62.7	2.07	12302	
12.327	0	0	0	62.27	1.79	12327	
12.352	0	0	0	62.7	1.79	12352	
12.377	0	0	0	62.39	2.03	12377	
12.402	0	0	0	62.39	2.19	12402	
12.427	0	0	0	61.98	2.38	12427	
12.452	0	0	0	62.75	2.15	12452	
12.477	0	0	0	62.58	2.07	12477	
12.502	0	0	0	62.1	2.19	12502	
12.527	0	0	0	62.15	2.03	12527	
12.552	0	0	0	61.43	1.79	12552	
12.577	0	0	0	62.15	2.31	12577	
12.602	0	0	0	62.1	2.19	12602	
12.627	0	0	0	62.46	2.43	12627	
12.652	0	0	0	62.1	2.31	12652	
12.677	0	0	0	61.79	2.07	12677	
12.702	0	0	0	61.98	2.19	12702	
12.727	0	0	0	61.67	1.95	12727	
12.752	0	0	0	61.98	2.15	12752	
12.777	0	0	0	61.98	2.03	12777	
12.802	0	0	0	61.86	2.15	12802	
12.827	0	0	0	62.22	2.31	12827	
12.852	0	0	0	61.39	1.84	12852	
12.877	0	0	0	61.51	1.79	12877	
12.902	0	0	0	61.86	1.79	12902	
12.928	0	0	0	61.51	2.19	12928	
12.952	0	0	0	61.2	2.03	12952	
12.977	0	0	0	61.79	2.55	12977	
13.002	0	0	0	61.31	2.38	13002	
13.027	0	0	0	61.51	2.19	13027	
13.052	0	0	0	61.27	1.84	13052	
13.078	0	0	0	61.03	1.43	13078	
13.102	0	0	0	60.96	1.95	13102	
13.127	0	0	0	60.79	1.95	13127	
13.152	0	0	0	61.15	2.26	13152	
13.177	0	0	0	60.72	2.31	13177	
13.202	0	0	0	60.91	2.31	13202	
13.227	0	0	0	61.08	2.62	13227	
13.252	0	0	0	61.15	2.15	13252	
13.277	0	0	0	61.55	2.26	13277	
13.302	0	0	0	60.96	2.07	13302	
13.346	0	0	0	61.2	2.67	13346	
13.357	0	0	0	61.15	2.19	13357	
13.377	0	0	0	61.2	2.31	13377	
13.402	0	0	0	60.79	1.79	13402	
13.427	0	0	0	60.96	2.19	13427	
13.452	0	0	0	60.6	2.03	13452	
13.477	0	0	0	60.36	2.03	13477	
13.502	0	0	0	60.31	2.26	13502	
13.528	0	0	0	60.96	2.55	13528	
13.552	0	0	0	60.79	2.31	13552	
13.577	0	0	0	60.67	2.15	13577	
13.602	0	0	0	60.48	2.31	13602	
13.627	0	0	0	60.6	2.38	13627	
13.652	0	0	0	60.43	2.15	13652	
13.678	0	0	0	60.43	2.03	13678	
13.702	0	0	0	60.48	2.55	13702	
13.727	0	0	0	60.24	2.26	13727	
13.752	0	0	0	60.6	2.43	13752	
13.777	0	0	0	60.55	1.95	13777	
13.802	0	0	0	59.96	2.31	13802	
13.827	0	0	0	60.55	2.38	13827	
13.852	0	0	0	60.43	1.95	13852	
13.878	0	0	0	60.36	2.43	13878	
13.902	0	0	0	60.67	2.38	13902	
13.928	0	0	0	60.36	2.19	13928	
13.952	0	0	0	60.08	2.07	13952	
13.977	0	0	0	60.08	2.55	13977	
14.002	0	0	0	59.96	1.95	14002	
14.027	0	0	0	60.36	1.91	14027	
14.052	0	0	0	60.24	1.67	14052	
14.077	0	0	0	60.31	2.03	14077	
14.102	0	0	0	60.12	1.84	14102	
14.128	0	0	0	60.12	2.03	14128	
14.152	0	0	0	59.72	2.19	14152	
14.177	0	0	0	59.77	1.91	14177	
14.202	0	0	0	59.36	2.38	14202	
14.227	0	0	0	59.53	2.79	14227	
14.252	0	0	0	59.72	2.43	14252	
14.278	0	0	0	59.41	2.07	14278	
14.302	0	0	0	60	2.03	14302	
14.328	0	0	0	59.72	2.19	14328	
14.352	0	0	0	60.19	2.19	14352	
14.377	0	0	0	59.96	2.31	14377	
14.402	0	0	0	60	2.43	14402	
14.427	0	0	0	59.88	2.19	14427	
14.452	0	0	0	60	2.38	14452	
14.477	0	0	0	59.72	2.5	14477	
14.502	0	0	0	59.88	2.26	14502	
14.528	0	0	0	60.19	2.62	14528	
14.552	0	0	0	59.72	2.19	14552	
14.578	0	0	0	59.53	2.31	14578	
14.603	0	0	0	59.65	2.38	14603	
14.628	0	0	0	59.6	2.03	14628	
14.652	0	0	0	59.41	1.72	14652	
